HIG,YAHOO,The Hartford Financial Services Group, Inc.,United States,Financial
HST,YAHOO,Host Hotels & Resorts, Inc.,United States,Financial
ICE,YAHOO,Intercontinental Exchange, Inc.,United States,Financial
LM,YAHOO,Legg Mason, Inc.,United States,Financial
MET,YAHOO,MetLife, Inc.,United States,Financial
MMC,YAHOO,Marsh & McLennan Companies, Inc.,United States,Financial
MMI,YAHOO,Marcus & Millichap, Inc.,United States,Financial
NDAQ,YAHOO,Nasdaq, Inc.,United States,Financial
PLD,YAHOO,Prologis, Inc.,United States,Financial
PNC,YAHOO,The PNC Financial Services Group, Inc.,United States,Financial
PRU,YAHOO,Prudential Financial, Inc.,United States,Financial
STI,YAHOO,SunTrust Banks, Inc.,United States,Financial
TROW,YAHOO,T. Rowe Price Group, Inc.,United States,Financial
TRV,YAHOO,The Travelers Companies, Inc.,United States,Financial
TSS,YAHOO,Total System Services, Inc.,United States,Financial
VTR,YAHOO,Ventas, Inc.,United States,Financial
A,YAHOO,Agilent Technologies, Inc.,United States,Healthcare
ANTM,YAHOO,Anthem, Inc.,United States,Healthcare
BDX,YAHOO,Becton, Dickinson and Company,United States,Healthcare
ISRG,YAHOO,Intuitive Surgical, Inc.,United States,Healthcare
MRK,YAHOO,Merck & Co., Inc.,United States,Healthcare
NVLS,YAHOO,Nivalis Therapeutics, Inc.,United States,Healthcare
TMO,YAHOO,Thermo Fisher Scientific, Inc.,United States,Healthcare
VAR,YAHOO,Varian Medical Systems, Inc.,United States,Healthcare
ZBH,YAHOO,Zimmer Biomet Holdings, Inc.,United States,Healthcare
JOY,YAHOO,Joy Global, Inc.,United States,Industrial Goods
PHM,YAHOO,PulteGroup, Inc.,United States,Industrial Goods
PWR,YAHOO,Quanta Services, Inc.,United States,Industrial Goods
ROP,YAHOO,Roper Technologies, Inc.,United States,Industrial Goods
RSG,YAHOO,Republic Services, Inc.,United States,Industrial Goods
SRCL,YAHOO,Stericycle, Inc.,United States,Industrial Goods
SWK,YAHOO,Stanley Black & Decker, Inc.,United States,Industrial Goods
WM,YAHOO,Waste Management, Inc.,United States,Industrial Goods
AMZN,YAHOO,Amazon.com, Inc.,United States,Services
AN,YAHOO,AutoNation, Inc.,United States,Services
APOL,YAHOO,Apollo Education Group, Inc.,United States,Services
AZO,YAHOO,AutoZone, Inc.,United States,Services
BBY,YAHOO,Best Buy Co., Inc.,United States,Services
CAH,YAHOO,Cardinal Health, Inc.,United States,Services
CMG,YAHOO,Chipotle Mexican Grill, Inc.,United States,Services
DISCA,YAHOO,Discovery Communications, Inc.,United States,Services
